PLAYER,TEAM,AGE,POSITION,GP,G,FREQ,DFGM,DFGA,DFG%,FG%,DIFF%
Matisse Thybulle,PHI,25,G-F,66,61,33.10%,0.8,3.2,24.4,36,-11.6
Caleb Martin,MIA,26,F,59,56,42.70%,1.2,4.6,26.7,35.7,-9
Chris Duarte,IND,24,G,55,53,36.50%,1.2,4.2,27.6,36.1,-8.5
Patrick Beverley,MIN,33,G,58,57,40.40%,1.1,3.9,27,35.3,-8.3
Tobias Harris,PHI,29,F,73,71,30.80%,1.1,3.8,28.9,35.8,-6.9
Nassir Little,POR,22,F-G,42,42,40.20%,1.4,4.6,29.4,35.9,-6.6
Austin Reaves,LAL,23,G,61,60,35.10%,1.2,4,29.6,35.8,-6.2
Ziaire Williams,MEM,20,F,62,61,39.20%,1,3.4,29.3,35.3,-6
Bam Adebayo,MIA,24,C-F,56,54,35.70%,1.3,4.5,30.1,36,-5.8
Bruce Brown,BKN,25,G-F,72,69,35.10%,1.1,3.8,29.2,35,-5.8
Isaac Okoro,CLE,21,F-G,67,60,34.00%,1,3.4,30,35.7,-5.7
Bobby Portis,MIL,27,F,72,71,35.50%,1.4,4.8,30.2,35.6,-5.4
Brandon Ingram,NOP,24,F,55,54,43.60%,1.3,4.3,30.8,36.2,-5.4
Mason Plumlee,CHA,32,F-C,72,70,22.70%,1,3.2,29.6,34.9,-5.3
D'Angelo Russell,MIN,26,G,65,65,38.90%,1.6,5.2,30.6,35.8,-5.2
Josh Giddey,OKC,19,G,54,52,36.80%,1.4,4.5,30.6,35.8,-5.2
Jimmy Butler,MIA,32,F,57,57,44.90%,1.4,4.4,30.8,35.8,-5
Gabe Vincent,MIA,25,G,64,62,46.40%,1.4,4.5,31,35.6,-4.6
Jarrett Allen,CLE,23,C,56,55,25.20%,1.2,4,30.6,35.1,-4.5
Tyler Herro,MIA,22,G,66,64,38.20%,1.4,4.5,31.4,35.8,-4.4
Stephen Curry,GSW,34,G,64,64,41.40%,1.4,4.4,31.4,35.8,-4.4
Cam Reddish,NYK,22,F-G,48,45,44.50%,1.2,3.9,31.2,35.5,-4.3
Chris Boucher,TOR,29,F-C,80,73,36.10%,1,3.2,31.3,35.6,-4.3
Monte Morris,DEN,26,G,75,75,38.40%,1.1,3.6,32,36.1,-4.2
Maxi Kleber,DAL,30,F,59,55,29.50%,1,3.4,30.2,34.4,-4.2
Alec Burks,NYK,30,G,81,81,42.40%,1.4,4.5,31.3,35.4,-4
Aaron Wiggins,OKC,23,G,50,48,37.30%,1.2,3.9,32.1,36.1,-4
Reggie Jackson,LAC,32,G,75,75,38.80%,1.7,5.2,32,35.8,-3.8
Deni Avdija,WAS,21,F,81,76,32.90%,1.3,4.1,32.3,36.1,-3.7
Robert Williams III,BOS,24,C-F,61,60,37.70%,1.6,5.1,31.7,35.4,-3.6
Jordan Clarkson,UTA,29,G,79,75,43.00%,1.3,3.9,32,35.5,-3.5
Evan Fournier,NYK,29,G-F,80,79,37.80%,1.2,3.8,32.7,36.1,-3.5
Montrezl Harrell,CHA,28,F-C,71,67,28.70%,1,3.3,31.5,34.9,-3.5
Norman Powell,LAC,28,G,44,43,44.00%,1.5,4.6,32.4,35.8,-3.4
Tre Mann,OKC,21,G,60,53,40.00%,1,3.2,32.1,35.5,-3.4
Devin Booker,PHX,25,G,68,68,38.20%,1.7,5.3,32.7,36,-3.3
Malik Beasley,MIN,25,G,79,73,43.60%,1.1,3.3,32.6,35.9,-3.3
Precious Achiuwa,TOR,22,F,73,64,26.90%,1,3.1,32,35.3,-3.3
Jeff Green,DEN,35,F,75,74,41.90%,1.4,4.4,31.8,35,-3.2
Jayson Tatum,BOS,24,F-G,76,73,37.70%,1.5,4.5,33.1,36.2,-3.1
Furkan Korkmaz,PHI,24,G-F,63,58,41.20%,1,3.1,32.6,35.6,-3
Marcus Smart,BOS,28,G,71,69,45.40%,1.6,4.8,33,36,-2.9
Aleksej Pokusevski,OKC,20,F,61,60,39.90%,1.3,3.9,32.3,35.2,-2.9
Jaxson Hayes,NOP,21,C-F,70,63,35.90%,1,3.1,31.8,34.7,-2.9
Eric Gordon,HOU,33,G,57,55,40.00%,1,3.1,32.4,35.3,-2.9
Jarred Vanderbilt,MIN,23,F,74,70,35.60%,1.2,3.6,32.3,35.1,-2.8
Bones Hyland,DEN,21,G,68,64,42.00%,1,3.1,32.2,35.1,-2.8
Deandre Ayton,PHX,23,C,58,55,27.10%,1.4,4.4,32.4,35.2,-2.7
Jalen Suggs,ORL,20,G,48,48,39.80%,1.4,4,33.7,36.4,-2.7
Domantas Sabonis,SAC,25,F-C,62,61,24.50%,1.2,3.8,32.4,35,-2.7
Carmelo Anthony,LAL,37,F,69,67,35.90%,1.2,3.7,32.8,35.4,-2.6
Kyle Kuzma,WAS,26,F,66,65,25.20%,1,3.1,33.2,35.8,-2.6
Jonathan Kuminga,GSW,19,F,65,57,37.00%,1,3,32.8,35.4,-2.6
Julius Randle,NYK,27,F-C,72,71,39.60%,1.7,5.2,32.4,35,-2.5
Grayson Allen,MIL,26,G,66,65,46.30%,1.6,4.9,33.4,35.8,-2.4
Mo Bamba,ORL,23,C,71,66,31.60%,1.5,4.5,32.6,35,-2.4
